month,revenue_target,deals_target,deals_closed_target,enps
01-10-2020, 40000,80000,45000,0
01-11-2020, 40000,30000,35000,0
01-12-2020, 40000,50000,55000,0
01-01-2021, 15000,90000,30000,0
01-02-2021, 25000,110000,50000,0
01-03-2021, 45000,120000,60000,0
01-04-2021, 55000,120000,65000,0
01-05-2021, 60000,100000,65000,0
01-06-2021, 60000,70000,55000,0
01-07-2021, 50000,45000,40000,0
01-08-2021, 35000,130000,50000,0
01-09-2021, 45000,140000,70000,0
01-10-2021, 70000,80000,75000,0
01-11-2021, 65000,70000,45000,0
01-12-2021, 45000,60000,40000,0
01-01-2022, 45000,140000,90000,0
01-02-2022, 60000,140000,90000,0
01-03-2022, 70000,150000,100000,10
01-04-2022, 70000,150000,90000,15
01-05-2022, 75000,160000,95000,20
01-06-2022, 80000,190000,95000,25
01-07-2022, 85000,150000,90000,30
01-08-2022, 65000,100000,80000,35
01-09-2022, 70000,120000,90000,40
01-10-2022, 80000,130000,90000,50 
